DATE,MAFAINUSWEA672N,MAFAINUSNEA672N,MAFAINUSSOA672N,MAFAINUSMWA672N
1/1/1967,63532,62026,50714,59028
1/1/1968,65389,63593,51977,61785
1/1/1969,67197,66403,54820,65413
1/1/1970,65189,67726,56206,64166
1/1/1971,66133,66463,56456,64401
1/1/1972,68537,71401,59694,68322
1/1/1973,70069,70983,61004,70024
1/1/1974,68100,70213,59689,69188
1/1/1975,67202,68050,58794,66999
1/1/1976,68904,67903,60730,69804
1/1/1977,69769,70404,62512,69577
1/1/1978,73517,71273,64365,71526
1/1/1979,75181,73252,64740,72311
1/1/1980,73106,70516,63034,69152
1/1/1981,71364,69309,63169,67256
1/1/1982,71206,69483,63269,67009
1/1/1983,70217,71153,63802,66409
1/1/1984,74075,74082,66584,68130
1/1/1985,76838,77936,66614,69888
1/1/1986,78793,81553,70048,72566
1/1/1987,80205,83376,71122,74790
1/1/1988,79993,86264,70816,76244
1/1/1989,83283,90585,72108,77537
1/1/1990,82647,86144,70493,77355
1/1/1991,80418,84915,69213,75162
1/1/1992,81234,83677,69301,74793
1/1/1993,84461,88119,72815,76343
1/1/1994,83332,92293,74735,78951
1/1/1995,86355,88962,75182,84027
1/1/1996,85527,93805,77116,84307
1/1/1997,88272,95735,80865,88007
1/1/1998,91273,97805,83530,91807
1/1/1999,93464,102981,85236,93782
1/1/2000,95884,103988,86533,95453
1/1/2001,94168,105169,86219,91745
1/1/2002,93303,101737,84962,91896
1/1/2003,94898,102272,83926,92187
1/1/2004,94163,103070,85335,89926
1/1/2005,96140,103290,85385,90588
1/1/2006,98571,106790,87193,91471
1/1/2007,98655,102324,87074,91822
1/1/2008,97693,101260,84047,87233
1/1/2009,94995,104333,82560,85819
1/1/2010,91029,99581,82388,85766
1/1/2011,91614,99105,83220,85970
1/1/2012,92942,99102,80999,88987
1/1/2013,96951,104266,83931,93231
1/1/2014,94259,103648,86103,90621
1/1/2015,98701,107536,89150,95469
1/1/2016,103493,112601,92050,97885
1/1/2017,104233,112951,92896,99707
