DATE,LRUN64TTUSQ156S
1/1/1970,4.171919878
4/1/1970,4.80873631
7/1/1970,5.316556175
10/1/1970,5.825914578
1/1/1971,5.995552607
4/1/1971,6.01938463
7/1/1971,6.1316377
10/1/1971,5.985750409
1/1/1972,5.867328488
4/1/1972,5.779262135
7/1/1972,5.697967734
10/1/1972,5.323426813
1/1/1973,5.043371462
4/1/1973,5.008130165
7/1/1973,4.901947919
10/1/1973,4.79658599
1/1/1974,5.162087785
4/1/1974,5.266345314
7/1/1974,5.716312358
10/1/1974,6.635465913
1/1/1975,8.402443986
4/1/1975,8.916371034
7/1/1975,8.568665465
10/1/1975,8.335570527
1/1/1976,7.873121607
4/1/1976,7.609070845
7/1/1976,7.788206525
10/1/1976,7.834275388
1/1/1977,7.621630095
4/1/1977,7.163509041
7/1/1977,6.960658424
10/1/1977,6.678101324
1/1/1978,6.391585335
4/1/1978,6.029305191
7/1/1978,6.08996415
10/1/1978,5.958161236
1/1/1979,5.922642805
4/1/1979,5.77682904
7/1/1979,5.952193404
10/1/1979,6.046045058
1/1/1980,6.378094706
4/1/1980,7.403697749
7/1/1980,7.777326134
10/1/1980,7.568988033
1/1/1981,7.519242852
4/1/1981,7.515382541
7/1/1981,7.547624651
10/1/1981,8.435151674
1/1/1982,8.966306615
4/1/1982,9.624059296
7/1/1982,10.0909948
10/1/1982,10.90487056
1/1/1983,10.55036027
4/1/1983,10.29890964
7/1/1983,9.462481281
10/1/1983,8.727435465
1/1/1984,7.974103186
4/1/1984,7.614202258
7/1/1984,7.537511536
10/1/1984,7.405977704
1/1/1985,7.371961518
4/1/1985,7.388783682
7/1/1985,7.287716427
10/1/1985,7.172229696
1/1/1986,7.111413776
4/1/1986,7.286241798
7/1/1986,7.066717471
10/1/1986,6.946475677
1/1/1987,6.722224284
4/1/1987,6.388720823
7/1/1987,6.087439978
10/1/1987,5.951739857
1/1/1988,5.800476879
4/1/1988,5.568325708
7/1/1988,5.556505223
10/1/1988,5.419270312
1/1/1989,5.272840296
4/1/1989,5.319104528
7/1/1989,5.336712538
10/1/1989,5.433144254
1/1/1990,5.396521161
4/1/1990,5.44167666
7/1/1990,5.741095047
10/1/1990,6.185013673
1/1/1991,6.696650699
4/1/1991,6.925414968
7/1/1991,6.917885226
10/1/1991,7.214824839
1/1/1992,7.505752245
4/1/1992,7.657725075
7/1/1992,7.713332249
10/1/1992,7.555828157
1/1/1993,7.245580328
4/1/1993,7.16931123
7/1/1993,6.901957947
10/1/1993,6.762858917
1/1/1994,6.642774522
4/1/1994,6.233348507
7/1/1994,6.053835214
10/1/1994,5.671849487
1/1/1995,5.526547752
4/1/1995,5.724506032
7/1/1995,5.712403566
10/1/1995,5.622274492
1/1/1996,5.614987568
4/1/1996,5.513106357
7/1/1996,5.329994064
10/1/1996,5.349641797
1/1/1997,5.306227619
4/1/1997,5.017402294
7/1/1997,4.909535872
10/1/1997,4.706271197
1/1/1998,4.73159873
4/1/1998,4.44677232
7/1/1998,4.571413148
10/1/1998,4.426861601
1/1/1999,4.347439878
4/1/1999,4.268338455
7/1/1999,4.269637996
10/1/1999,4.103328489
1/1/2000,4.093180998
4/1/2000,3.968232969
7/1/2000,4.05498764
10/1/2000,3.947545137
1/1/2001,4.295830897
4/1/2001,4.475570875
7/1/2001,4.862680273
10/1/2001,5.58979117
1/1/2002,5.803187336
4/1/2002,5.900261423
7/1/2002,5.773244939
10/1/2002,5.934875521
1/1/2003,5.954288397
4/1/2003,6.212024049
7/1/2003,6.141634637
10/1/2003,5.933346096
1/1/2004,5.773931472
4/1/2004,5.641711488
7/1/2004,5.478239231
10/1/2004,5.478090191
1/1/2005,5.332962719
4/1/2005,5.170376827
7/1/2005,5.026351527
10/1/2005,5.017927619
1/1/2006,4.790681551
4/1/2006,4.738786652
7/1/2006,4.698398173
10/1/2006,4.510932441
1/1/2007,4.575184504
4/1/2007,4.557791715
7/1/2007,4.713087182
10/1/2007,4.858535322
1/1/2008,5.010328448
4/1/2008,5.407881852
7/1/2008,6.103779968
10/1/2008,6.98815158
1/1/2009,8.390069669
4/1/2009,9.385746828
7/1/2009,9.733634712
10/1/2009,10.08653478
1/1/2010,9.947778521
4/1/2010,9.832737783
7/1/2010,9.600381851
10/1/2010,9.699837863
1/1/2011,9.154749418
4/1/2011,9.207078655
7/1/2011,9.108616979
10/1/2011,8.805270689
1/1/2012,8.345685333
4/1/2012,8.268754888
7/1/2012,8.100265621
10/1/2012,7.969032942
1/1/2013,7.78685445
4/1/2013,7.671875403
7/1/2013,7.400144595
10/1/2013,7.102040129
1/1/2014,6.730682959
4/1/2014,6.295475189
7/1/2014,6.162434053
10/1/2014,5.812673267
1/1/2015,5.613764491
4/1/2015,5.511006854
7/1/2015,5.188176369
10/1/2015,5.14434066
1/1/2016,5.01224998
4/1/2016,4.974797606
7/1/2016,4.953701784
10/1/2016,4.814393204
1/1/2017,4.659403195
4/1/2017,4.393142706
7/1/2017,4.383163968
10/1/2017,4.159848424
1/1/2018,4.153743058
4/1/2018,3.958850131
7/1/2018,3.801865279
