DATE,ASPNE,ASPMW,ASPW,ASPS
1/1/1975,47200,43300,44225,39575
1/1/1976,50125,48725,51925,43775
1/1/1977,54600,55325,61275,48025
1/1/1978,62800,64350,70650,55650
1/1/1979,72050,72950,82875,63525
1/1/1980,79475,74475,89875,69100
1/1/1981,87950,82250,96075,75950
1/1/1982,88625,87875,92625,78225
1/1/1983,96425,97575,97550,82875
1/1/1984,107425,107725,109200,85600
1/1/1985,120800,96000,111900,89025
1/1/1986,151450,102800,116875,95275
1/1/1987,172275,116100,135550,106275
1/1/1988,181175,123050,156000,114775
1/1/1989,188625,130100,173575,121275
1/1/1990,190225,131275,181150,122425
1/1/1991,189475,134700,175625,123100
1/1/1992,196750,136500,158575,127425
1/1/1993,184150,143225,162125,132925
1/1/1994,199900,152000,169350,135900
1/1/1995,215275,156525,169250,140350
1/1/1996,228225,158075,186325,142925
1/1/1997,234100,169625,198150,149850
1/1/1998,240500,177975,200450,158200
1/1/1999,247575,185850,223000,170625
1/1/2000,274775,197300,239100,176650
1/1/2001,294275,197925,248675,183150
1/1/2002,302950,206225,275425,195025
1/1/2003,315975,215300,306850,205875
1/1/2004,371450,238875,340850,226500
1/1/2005,398100,245325,386125,240250
1/1/2006,427400,255825,409325,254125
1/1/2007,440600,252500,401300,265750
1/1/2008,463750,245950,362150,250075
1/1/2009,412850,226650,321125,238675
1/1/2010,421525,233500,312900,243375
1/1/2011,383500,238875,298925,244850
1/1/2012,417650,261500,318050,263200
1/1/2013,473875,295875,370825,288225
1/1/2014,535975,306675,401450,309225
1/1/2015,568600,315275,409150,312925
1/1/2016,531925,312000,432425,321400
1/1/2017,612175,322700,451400,334425
